,sms,spam/ham_spam
0,go until jurong point crazi avail onli in bugi n great world la e buffet cine there got amor wat,0
1,ok lar joke wif u oni,0
2,free entri in a wkli comp to win fa cup final tkt st may text fa to to receiv entri question std txt rate t c s appli over s,1
3,u dun say so earli hor u c alreadi then say,0
4,nah i don t think he goe to usf he live around here though,0
5,freemsg hey there darl it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chg to send to rcv,1
6,even my brother is not like to speak with me they treat me like aid patent,0
7,as per your request mell mell oru minnaminungint nurungu vettam ha been set as your callertun for all caller press to copi your friend callertun,0
8,winner as a valu network custom you have been select to receivea prize reward to claim call claim code kl valid hour onli,1
9,had your mobil month or more u r entitl to updat to the latest colour mobil with camera for free call the mobil updat co free on,1
10,i m gonna be home soon and i don t want to talk about thi stuff anymor tonight k i ve cri enough today,0
11,six chanc to win cash from to pound txt csh and send to cost p day day tsandc appli repli hl info,1
12,urgent you have won a week free membership in our prize jackpot txt the word claim to no t c www dbuk net lccltd pobox ldnw a rw,1
13,i ve been search for the right word to thank you for thi breather i promis i wont take your help for grant and will fulfil my promis you have been wonder and a bless at all time,0
14,i have a date on sunday with will,0
15,xxxmobilemovieclub to use your credit click the wap link in the next txt messag or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl,1
16,oh k i m watch here,0
17,eh u rememb how spell hi name ye i did he v naughti make until i v wet,0
18,fine if that s the way u feel that s the way it gota b,0
19,england v macedonia dont miss the goal team news txt ur nation team to eg england to tri wale scotland txt poboxox w wq,1
20,is that serious how you spell hi name,0
21,i m go to tri for month ha ha onli joke,0
22,so pay first lar then when is da stock comin,0
23,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch alreadi,0
24,ffffffffff alright no way i can meet up with you sooner,0
25,just forc myself to eat a slice i m realli not hungri tho thi suck mark is get worri he know i m sick when i turn down pizza lol,0
26,lol your alway so convinc,0
27,did you catch the bu are you fri an egg did you make a tea are you eat your mom s left over dinner do you feel my love,0
28,i m back amp we re pack the car now i ll let you know if there s room,0
29,ahhh work i vagu rememb that what doe it feel like lol,0
30,wait that s still not all that clear were you not sure about me be sarcast or that that s whi x doesn t want to live with us,0
31,yeah he got in at and wa v apologet n had fallen out and she wa actin like spoilt child and he got caught up in that till but we won t go there not do too badli cheer you,0
32,k tell me anyth about you,0
33,for fear of faint with the of all that housework you just did quick have a cuppa,0
34,thank for your subscript to rington uk your mobil will be charg month pleas confirm by repli ye or no if you repli no you will not be charg,1
35,yup ok i go home look at the time then i msg again xuhui go to learn on nd may too but her lesson is at am,0
36,oop i ll let you know when my roommat s done,0
37,i see the letter b on my car,0
38,anyth lor u decid,0
39,hello how s you and how did saturday go i wa just text to see if you d decid to do anyth tomo not that i m tri to invit myself or anyth,0
40,pl go ahead with watt i just want to be sure do have a great weekend abiola,0
41,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummi,0
42,rodger burn msg we tri to call you re your repli to our sm for a free nokia mobil free camcord pleas call now for deliveri tomorrow,1
43,who are you see,0
44,great i hope you like your man well endow i am lt gt inch,0
45,no call messag miss call,0
46,didn t you get hep b immunis in nigeria,0
47,fair enough anyth go on,0
48,yeah hope if tyler can t do it i could mayb ask around a bit,0
49,u don t know how stubborn i am i didn t even want to go to the hospit i kept tell mark i m not a weak sucker hospit are for weak sucker,0
50,what you think about me first time you saw me in class,0
51,a gram usual run like lt gt a half eighth is smarter though and get you almost a whole second gram for lt gt,0
52,k fyi x ha a ride earli tomorrow morn but he s crash at our place tonight,0
53,wow i never realiz that you were so embarass by your accomod i thought you like it sinc i wa do the best i could and you alway seem so happi about the cave i m sorri i didn t and don t have more to give i m sorri i offer i m sorri your room wa so embarass,0
54,sm ac sptv the new jersey devil and the detroit red wing play ice hockey correct or incorrect end repli end sptv,1
55,do you know what mallika sherawat did yesterday find out now lt url gt,0
56,congrat year special cinema pass for is your call now c suprman v matrix starwar etc all free bx ip we pm dont miss out,1
57,sorri i ll call later in meet,0
58,tell where you reach,0
59,ye gauti and sehwag out of odi seri,0
60,your gonna have to pick up a burger for yourself on your way home i can t even move pain is kill me,0
61,ha ha ha good joke girl are situat seeker,0
62,it a part of check iq,0
63,sorri my roommat took forev it ok if i come by now,0
64,ok lar i doubl check wif da hair dresser alreadi he said wun cut v short he said will cut until i look nice,0
65,as a valu custom i am pleas to advis you that follow recent review of your mob no you are award with a bonu prize call,1
66,today is song dedic day which song will u dedic for me send thi to all ur valuabl frnd but first rpli me,0
67,urgent ur award a complimentari trip to eurodisinc trav aco entri or to claim txt di to morefrmmob shracomorsglsuplt ls aj,1
68,did you hear about the new divorc barbi it come with all of ken s stuff,1
69,i plane to give on thi month end,0
70,wah lucki man then can save money hee,0
71,finish class where are you,0
72,hi babe im at home now wanna do someth xx,0
73,k k where are you how did you perform,0
74,u can call me now,0
75,i am wait machan call me onc you free,0
76,that cool i am a gentleman and will treat you with digniti and respect,0
77,i like you peopl veri much but am veri shi pa,0
78,doe not oper after lt gt or what,0
79,it not the same here still look for a job how much do ta s earn there,0
80,sorri i ll call later,0
81,k did you call me just now ah,0
82,ok i am on the way to home hi hi,0
83,you will be in the place of that man,0
84,yup next stop,0
85,i call you later don t have network if urgnt sm me,0
86,for real when u get on yo i onli need more ticket and one more jacket and i m done i alreadi use all my multi,0
87,ye i start to send request to make it but pain came back so i m back in bed doubl coin at the factori too i gotta cash in all my nitro,0
88,i m realli not up to it still tonight babe,0
89,ela kano il download come wen ur free,0
90,yeah do don t stand to close tho you ll catch someth,0
91,sorri to be a pain is it ok if we meet anoth night i spent late afternoon in casualti and that mean i haven t done ani of y stuff moro and that includ all my time sheet and that sorri,0
92,smile in pleasur smile in pain smile when troubl pour like rain smile when sum hurt u smile becoz someon still love to see u smile,0
93,pleas call our custom servic repres on between am pm as you have won a guarante cash or prize,1
94,havent plan to buy later i check alreadi lido onli got show in e afternoon u finish work alreadi,0
95,your free rington is wait to be collect simpli text the password mix to to verifi get usher and britney fml po box mk h ppw,1
96,watch telugu movi wat abt u,0
97,i see when we finish we have load of loan to pay,0
98,hi wk been ok on hol now ye on for a bit of a run forgot that i have hairdress appoint at four so need to get home n shower beforehand doe that caus prob for u,0
99,i see a cup of coffe anim,0
100,pleas don t text me anymor i have noth els to say,0
101,okay name ur price as long as it legal wen can i pick them up y u ave x am xx,0
102,i m still look for a car to buy and have not gone the drive test yet,0
103,wow you re right i didn t mean to do that i guess onc i gave up on boston men and chang my search locat to nyc someth chang cuz on my signin page it still say boston,0
104,umma my life and vava umma love you lot dear,0
105,thank a lot for your wish on my birthday thank you for make my birthday truli memor,0
106,aight i ll hit you up when i get some cash,0
107,how would my ip address test that consid my comput isn t a minecraft server,0
108,i know grumpi old peopl my mom wa like you better not be lie then again i am alway the one to play joke,0
109,dont worri i guess he s busi,0
110,what is the plural of the noun research,0
111,go for dinner msg you after,0
112,i m ok wif it co i like tri new thing but i scare u dun like mah co u said not too loud,0
113,gent we are tri to contact you last weekend draw show that you won a prize guarante call claim code k valid hr onli ppm,1
114,wa ur openin sentenc veri formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happen,0
115,as i enter my cabin my pa said happi b day boss i felt special she askd me lunch after lunch she invit me to her apart we went there,0
116,you are a winner u have been special select receiv or a holiday flight inc speak to a live oper claim p min,1
117,goodo ye we must speak friday egg potato ratio for tortilla need,0
118,hmm my uncl just inform me that he s pay the school directli so pl buy food,0
119,privat your account statement for show unredeem bonu point to claim call identifi code expir,1
120,urgent your mobil no wa award bonu caller prize on thi is our final tri to contact u call from landlin box wr c ppm,1
121,here is my new address appl pair all that malarki,0
122,today voda number end are select to receiv a award if you have a match pleas call quot claim code standard rate app,1
123,i am go to sao mu today will be done onli at,0
124,predict wat time ll finish buy,0
125,good stuff will do,0
126,just so that you know yetund hasn t sent money yet i just sent her a text not to bother send so it over you dont have to involv yourself in anyth i shouldn t have impos anyth on you in the first place so for that i apologis,0
127,are you there in room,0
128,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,0
129,k k how much doe it cost,0
130,i m home,0
131,dear will call tmorrow pl accomod,0
132,first answer my question,0
